term,definition,disciplines,url
STB,[Production Facilities] Abbreviation for stock tank barrel.,Production Facilities,https://glossary.slb.com/en/terms/s/stb
stock tank,[Production Facilities] A storage tank for oil production after the oil has been treated.,Production Facilities,https://glossary.slb.com/en/terms/s/stock_tank
stock tank barrel,[Production Facilities] A measure of the volume of treated oil stored in stock tanks. A stock tank barrel is commonly abbreviated as STB.,Production Facilities,https://glossary.slb.com/en/terms/s/stock_tank_barrel
strap,"1. (vb.) [Well Completions] To measure a running string or assembled components while running in or out of the wellbore. | 2. (vb.) [Production Facilities] To measure the dimensions of an oil tank, such as external diameter and height, using a steel tape. Once the measurements are recorded, they may be used to prepare tank tables, which describe tank capacity.",Production Facilities; Well Completions,https://glossary.slb.com/en/terms/s/strap
strapping tape,"[Production Facilities] A graduated tape use to measure, or strap, producing tanks. The measurements are used to generate a tank table, which describes tank capacity.",Production Facilities,https://glossary.slb.com/en/terms/s/strapping_tape
surge tank,[Production Facilities] A vessel placed in a flowline through which liquids or gases are flowed to neutralize sudden pressure surges.,Production Facilities,https://glossary.slb.com/en/terms/s/surge_tank
sweetening,"[Production Facilities] A process used to remove hydrogen sulfide [H2S] and carbon dioxide [CO2] from a gas stream. These components are removed because they can form acidic solutions when they contact water, which will cause corrosion problems in gas pipelines. In a sweetening process, different types of ethanolamine can be used, including monoethanolamine (MEA), diethanolamine (DEA), diglycolamine (DGA) and methyldiethanolamine (MDEA). Hydrogen sulfide and carbon dioxide are absorbed by the ethanolamine and sweet gas leaves at the top of the absorber. The ethanolamine is heated and acid gas (hydrogen sulfide and carbon dioxide gases) and water vapor are obtained. The water is removed while the acid gas can be flared or further treated in a sulfur recovery unit to separate out elemental sulfur. Finally, the lean ethanolamine is returned to the absorber.",Production Facilities,https://glossary.slb.com/en/terms/s/sweetening
synthetic natural gas,[Production Facilities] A gas obtained by heating coal or refining heavy hydrocarbons. Synthetic natural gas is abbreviated SNG.,Production Facilities,https://glossary.slb.com/en/terms/s/synthetic_natural_gas
tank,"[Production Facilities] A metal or plastic vessel used to store or measure a liquid. The three types of tanks in an oil field are drilling, production and storage tanks.",Production Facilities,https://glossary.slb.com/en/terms/t/tank
tank battery,"[Production Facilities] A group of tanks that are connected to receive crude oil production from a well or a producing lease. A tank battery is also called a battery. In the tank battery, the oil volume is measured and tested before pumping the oil into the pipeline system.",Production Facilities,https://glossary.slb.com/en/terms/t/tank_battery
tank bottoms,"[Production Facilities] The settlings—sediment, dirt, oil emulsified with water, and free water—that accumulate in the bottom of storage tanks. The tank bottoms are periodically cleaned up and settlings can be disposed of or treated by chemicals to recover additional hydrocarbons. Tank bottoms are also called tank settlings or tank sludge.",Production Facilities,https://glossary.slb.com/en/terms/t/tank_bottoms
tank calibration,"[Production Facilities] Measurement of the dimensions of an oil tank, such as external diameter and height, using a steel tape. Once the measurements are recorded, they may be used to prepare tank tables, which describe tank capacity.",Production Facilities,https://glossary.slb.com/en/terms/t/tank_calibration
tank dike,[Production Facilities] A structure constructed around an oil tank to contain the oil in case the tank collapses. The volume or space inside the tank dike should be greater than the volume of the tank. A tank dike is also called a fire wall.,Production Facilities,https://glossary.slb.com/en/terms/t/tank_dike
tank table,[Production Facilities] A table that shows the tank capacity in barrels as a function of the liquid level inside the tank. A tank table is also called a tank capacity table or gauge table.,Production Facilities,https://glossary.slb.com/en/terms/t/tank_table
tankage,[Production Facilities] The capacity of all the tanks in a field.,Production Facilities,https://glossary.slb.com/en/terms/t/tankage
tanker,"[Production Facilities] A ship designed to transport crude oil, liquefied petroleum gas (LPG), liquefied natural gas (LNG), synthetic natural gas (SNG) or refined products. Tankers with 100,000 deadweight tons of capacity or more are called supertankers (very large crude carriers or ultralarge crude carriers). A tanker is also called a tank ship.",Production Facilities,https://glossary.slb.com/en/terms/t/tanker
TAPS,[Production Facilities] Abbreviation for Trans-Alaska Pipeline System,Production Facilities,https://glossary.slb.com/en/terms/t/taps
test separator,"[Production Facilities] A vessel used to separate and meter relatively small quantities of oil and gas. Test separators can be two-phase or three-phase, or horizontal, vertical or spherical. They can also be permanent or portable. Test separators sometimes are equipped with different meters to determine oil, water and gas rates, which are important to diagnose well problems, evaluate production performance of individual wells and manage reserves properly. Test separators can also be called well testers or a well checkers.",Production Facilities,https://glossary.slb.com/en/terms/t/test_separator
thief,[Production Facilities] A device that can be lowered into a tank to obtain samples (liquid or sediments) at different depths. The samples are analyzed to determine the gravity and BS&W content of the fluid into the tank.,Production Facilities,https://glossary.slb.com/en/terms/t/thief
thief hatch,[Production Facilities] An opening in the top of the stock tank. The thief hatch allows tank access for a thief or other level measuring devices.,Production Facilities,https://glossary.slb.com/en/terms/t/thief_hatch
three-phase separator,"[Production Facilities] A vessel that separates the well fluids into gas and two types of liquids: oil and water. A three-phase separator can be horizontal, vertical or spherical. This type of separator is commonly called a free-water knockout because its main use is to remove any free water that can cause problems such as corrosion and formation of hydrates or tight emulsions, which are difficult to break. A free-water knockout is commonly called a three-phase separator because it can separate gas, oil and free water. The liquids that are discharged from the free-water knockout are further treated in vessels called treaters. Free-water knockout is abbreviated as FWKO.",Production Facilities,https://glossary.slb.com/en/terms/t/three-phase_separator
tight emulsion,[Production Facilities] An emulsion with small and closely distributed droplets. A tight emulsion can be difficult to break. Antonyms: loose emulsion,Production Facilities,https://glossary.slb.com/en/terms/t/tight_emulsion
Trans-Alaska Pipeline System,"[Production Facilities] An 800-mi [1,287-km], 48-in [122-cm] pipeline that transports more than 1 million barrels of oil from Deadhorse (near Prudhoe Bay) to Valdez, Alaska, USA. The Trans-Alaska Pipeline System was completed in 1977, and it is often abbreviated as TAPS.",Production Facilities,https://glossary.slb.com/en/terms/t/trans-alaska_pipeline_system
treater,"[Production Facilities] A vessel used to treat oil-water emulsions so the oil can be accepted by the pipeline or transport. A treater can use several mechanisms. These include heat, gravity segregation, chemical additives and electric current to break emulsions. There are vertical and horizontal treaters. The main difference between them is the residence time, which is shorter in the vertical configuration compared with the horizontal one. A treater can be called a heater treater or an emulsion treater.",Production Facilities,https://glossary.slb.com/en/terms/t/treater
two-phase separator,"[Production Facilities] A vessel that separates the well fluids into gas and total liquid. A two-phase separator can be horizontal, vertical or spherical. The liquid (oil, emulsion) leaves the vessel at the bottom through a level-control or dump valve. The gas leaves the vessel at the top, passing through a mist extractor to remove the small liquid droplets in the gas.",Production Facilities,https://glossary.slb.com/en/terms/t/two-phase_separator
ultralarge crude carrier,"[Production Facilities] A supertanker with 500,000 deadweight tons of capacity or more. The term is commonly abbreviated as ULCC.",Production Facilities,https://glossary.slb.com/en/terms/u/ultralarge_crude_carrier
vapor recovery unit,"[Production Facilities] A system composed of a scrubber, a compressor and a switch. Its main purpose is to recover vapors formed inside completely sealed crude oil or condensate tanks. The switch detects pressure variations inside the tanks and turns the compressor on and off. The vapors are sucked through a scrubber, where the liquid trapped is returned to the liquid pipeline system or to the tanks, and the vapor recovered is pumped into gas lines.",Production Facilities,https://glossary.slb.com/en/terms/v/vapor_recovery_unit
vertical separator,"[Production Facilities] A vessel with its cylindrical axes perpendicular to the ground that is used to separate oil, gas and water from the production stream. The vessel can be a two-phase or three-phase separator.",Production Facilities,https://glossary.slb.com/en/terms/v/vertical_separator
very large crude carrier,"[Production Facilities] A supertanker with a capacity between 100,000 and 500,000 deadweight tons. The term is commonly abbreviated as VLCC.",Production Facilities,https://glossary.slb.com/en/terms/v/very_large_crude_carrier
VLCC,[Production Facilities] Abbreviation for very large crude carrier.,Production Facilities,https://glossary.slb.com/en/terms/v/vlcc
wet gas,"1. (n.) [Geology] Natural gas that contains less methane (typically less than 85% methane) and more ethane and other more complex hydrocarbons. Antonyms: dry gas | 2. (n.) [Production Facilities] Natural gas that contains water. | 3. (n.) [Production Testing] Natural gas containing significant heavy hydrocarbons. Propane, butane and other liquid hydrocarbons can be liquefied.",Geology; Production Facilities; Production Testing,https://glossary.slb.com/en/terms/w/wet_gas
